sec,nm,yrs,opm,netcash,hoard,cyc,per,covid
7740,株式会社タムロン,41,19.56,True,True,True,13.1,
7317,株式会社松屋アールアンドディ,6,21.81,True,True,True,,
4428,株式会社シノプス,7,15.15,True,True,False,16.6,
3804,株式会社システム　ディ,20,18.64,True,True,False,12.2,
8136,株式会社サンリオ,44,40.12,True,True,False,25.92,
3692,株式会社ＦＦＲＩセキュリティ,12,31.37,True,True,False,35.99,
299A,クラシル株式会社,2,20.37,True,True,False,17.96,
7373,株式会社アイドマ・ホールディングス,5,23.39,True,True,False,9.62,
4262,ニフティライフスタイル株式会社,5,22.72,True,True,False,11.08,
2371,株式会社カカクコム,23,29.02,True,True,False,38.66,
5591,株式会社ＡＶＩＬＥＮ,3,16.39,True,True,False,46.54,
3969,株式会社エイトレッド,10,36.18,True,True,False,14.6,
9757,株式会社船井総研ホールディングス,38,26.45,True,True,False,13.25,
5126,ポーターズ株式会社,4,16.8,True,True,False,18.44,
3836,株式会社アバントグループ,19,16.31,True,True,False,11.96,
4686,株式会社ジャストシステム,29,43.66,True,True,False,15.85,
3712,株式会社情報企画,23,40.0,True,False,False,12.92,
5869,株式会社早稲田学習研究会,3,19.84,True,True,False,13.29,
6284,日精エー・エス・ビー機械株式会社,36,24.38,True,True,True,16.07,
4722,フューチャー株式会社,27,21.29,True,True,False,16.23,
6055,ジャパンマテリアル株式会社,15,25.25,True,False,True,21.71,
6590,芝浦メカトロニクス株式会社,57,17.34,True,False,True,29.72,
7085,株式会社カーブスホールディングス,6,16.89,True,False,False,17.94,
3914,ＪＩＧ－ＳＡＷ株式会社,11,15.17,True,True,False,32.8,
6920,レーザーテック株式会社,36,48.85,True,False,True,43.76,
3923,株式会社ラクス,11,28.77,True,True,False,26.03,
446A,株式会社ノースサンド,1,11.48,True,True,False,,False
3496,株式会社アズーム,8,19.39,True,True,False,25.8,
5570,株式会社ジェノバ,3,56.66,True,True,False,15.78,
2127,株式会社日本Ｍ＆Ａセンターホールディングス,20,37.33,True,True,False,16.87,
2124,株式会社ジェイエイシーリクルートメント,20,25.35,True,True,True,16.13,
6226,守谷輸送機工業株式会社,4,25.74,True,False,True,11.15,
9697,株式会社カプコン,36,38.54,True,True,False,25.78,
4716,日本オラクル株式会社,27,31.5,True,False,False,16.75,
6194,株式会社アトラエ,10,24.27,True,True,True,,
6090,ヒューマン・メタボローム・テクノロジーズ株式会社,13,17.18,True,True,False,28.38,
2749,株式会社ＪＰホールディングス,24,15.08,True,True,False,12.42,
343A,株式会社ＩＡＣＥトラベル,1,25.01,True,False,True,11.36,True
3733,株式会社ソフトウェア・サービス,22,19.83,True,False,False,9.0,
6871,株式会社日本マイクロニクス,29,23.57,True,False,True,40.28,
6356,日本ギア工業株式会社,65,24.86,,,True,49.72,
4287,株式会社ジャストプランニング,25,27.75,True,True,False,10.92,
4743,株式会社アイティフォー,26,16.71,True,True,False,16.15,
